most_religion,name_iso
Christianity,USA
Christianity,CAN
Christianity,BHS
Christianity,CUB
Christianity,HTI
Christianity,DOM
Christianity,JAM
Christianity,TTO
Christianity,BRB
Christianity,DMA
Christianity,GRD
Christianity,LCA
Christianity,VCT
Christianity,ATA
Christianity,KNA
Christianity,MEX
Christianity,BLZ
Christianity,GTM
Christianity,HND
Christianity,SLV
Christianity,NIC
Christianity,CRI
Christianity,PAN
Christianity,COL
Christianity,VEN
Christianity,GUY
Christianity,SUR
Christianity,ECU
Christianity,PER
Christianity,BRA
Christianity,BOL
Christianity,PRY
Christianity,CHL
Christianity,ARG
Christianity,URY
Christianity,GBR
Christianity,IRL
Christianity,NLD
Christianity,BEL
Christianity,LUX
Christianity,FRA
Christianity,CHE
Christianity,ESP
Christianity,AND
Christianity,PRT
Christianity,DEU
Christianity,POL
Christianity,AUT
Christianity,HUN
Non. Religious,CZE
Christianity,SVK
Christianity,ITA
Christianity,SMR
Christianity,MLT
Islam,ALB
Christianity,MNE
Christianity,MKD
Christianity,HRV
Christianity,YUG
Christianity,BIH
Christianity,SVN
Christianity,GRC
Christianity,CYP
Christianity,BGR
Christianity,MDA
Christianity,ROU
Christianity,RUS
Non. Religious,EST
Christianity,LVA
Christianity,LTU
Christianity,UKR
Christianity,BLR
Christianity,ARM
Christianity,GEO
Islam,AZE
Christianity,FIN
Christianity,SWE
Christianity,NOR
Christianity,DNK
Christianity,ISL
Christianity,CPV
Christianity,STP
Animist Religions,GNB
Christianity,GNQ
Islam,GMB
Islam,MLI
Islam,SEN
Christianity,BEN
Islam,MRT
Islam,NER
Christianity,CIV
Islam,GIN
Islam,BFA
Christianity,LBR
Islam,SLE
Christianity,GHA
Christianity,TGO
Christianity,CMR
Islam,NGA
Christianity,GAB
Christianity,CAF
Islam,TCD
Christianity,COG
Christianity,COD
Christianity,UGA
Christianity,KEN
Christianity,TZA
Christianity,BDI
Christianity,RWA
Islam,SOM
Islam,DJI
Christianity,ETH
Christianity,ERI
Christianity,AGO
Christianity,MOZ
Christianity,ZMB
Christianity,ZWE
Christianity,MWI
Christianity,ZAF
Christianity,NAM
Christianity,LSO
Christianity,BWA
Christianity,SWZ
Christianity,MDG
Islam,COM
Hindu,MUS
Christianity,SYC
Islam,MAR
Islam,DZA
Islam,TUN
Islam,LBY
Islam,SDN
Islam,IRN
Islam,TUR
Islam,IRQ
Islam,EGY
Islam,SYR
Islam,LBN
Islam,JOR
Judaism,ISR
Islam,SAU
Islam,YEM
Islam,KWT
Islam,BHR
Islam,QAT
Islam,ARE
Islam,OMN
Islam,AFG
Islam,TKM
Islam,TJK
Islam,KGZ
Islam,UZB
Islam,KAZ
Syncretic Religions,CHN
Buddhism,MNG
Non. Religious,PRK
Non. Religious,KOR
Shinto,JPN
Hindu,IND
Buddhism,BTN
Islam,PAK
Islam,BGD
Buddhism,MMR
Buddhism,LKA
Islam,MDV
Hindu,NPL
Buddhism,THA
Buddhism,KHM
Buddhism,LAO
Islam,MYS
Buddhism,SGP
Islam,BRN
Christianity,PHL
Islam,IDN
Christianity,TLS
Christianity,AUS
Christianity,PNG
Christianity,NZL
Christianity,VUT
Christianity,SLB
Christianity,KIR
Christianity,TUV
Christianity,FJI
Christianity,TON
Christianity,NRU
Christianity,MHL
Christianity,PLW
Christianity,FSM
Christianity,WSM
