year,treated_domestic,rest_of_world_domestic,CW_domestic,GO_domestic,GC_domestic,MENA_domestic,cem1_domestic,cem2_domestic,cem3_domestic
2002,79.01456331210211,406.4447806150963,14.719702077408632,153.35931041976437,87.85358120985329,126.32913387008011,44.81593139896229,56.43380575098018,66.15874667039607
2003,82.9542257961817,419.72614108833176,14.683770958955089,186.14957905048504,82.63835739679635,142.78366272961722,49.62344023725018,60.940922922865944,71.22638223393588
2004,89.47497984934598,451.9346318953205,17.09255198513468,177.31863732333295,97.76697357827797,163.8772818045225,52.34295123256743,63.24922441701068,81.94314729624894
2005,92.93924499286804,509.3215560474131,19.756840074046824,200.84394990466535,93.68680597944186,181.58211428911892,59.07605803624592,69.56930989636346,92.35993665070274
2006,108.49625564236194,592.8757557082964,20.663595172110945,237.76434314996004,109.4886169214733,231.58472984358667,73.66488152320287,85.05625465207862,116.34359382834518
2007,127.09723776893225,669.0480660774498,18.272448507603258,311.5160530344583,118.62458521951922,294.9767069290159,78.90833517168498,89.41957428993439,136.38373511107056
2008,149.80217803409323,736.7116635684193,23.54036542866379,355.2348286898341,143.38620533505454,346.7436353834346,101.10373731625957,110.45030799936107,171.63651759794448
2009,180.47085502669216,833.0800363449621,32.31702394100527,468.820478876587,154.02330413814633,406.7811206828104,131.4160980954926,132.01816431369863,212.22668518517239
2010,196.92130958046764,880.5301105213209,46.627617589508496,544.6735215527005,147.99663998614997,463.64907627434,138.03080189204024,137.1544014153051,229.96737885292387
2011,226.82006225800143,977.4506442256177,33.30847122318422,638.4378683683462,178.2798944347538,605.4916139940731,167.15515844662855,157.29428003315488,289.92652772193543
2012,254.2220896910876,1059.7716872132987,39.12785177771002,727.3931036149152,194.01022686958314,684.6638499457273,189.41832306813598,176.23117883303303,327.0616414841934
2013,266.3481265154434,1180.805045810846,50.91113354902094,761.6170209610718,197.5027645170456,728.394469386735,220.26494814238828,202.79517810724482,364.4284181427676
2014,267.19122213677036,1259.8046683990044,44.22837589122355,747.4597412649891,208.86152223281096,804.7436668888898,233.12996020899604,223.43988772275227,392.6583118605951
2015,279.3208383635036,1324.3647297852538,40.10187544580549,785.3790354849189,220.4289372655563,821.3913388823858,246.38952225058588,243.51667238393907,411.63093866515993
2016,315.1504010490142,1428.8934361779309,45.68088825287608,884.309475692804,249.16847886918111,945.9769404682913,274.00290234390394,278.3681585140473,470.9853870836967
2017,299.1210128364968,1483.134427921715,38.99577578248378,789.0790717990021,259.2129314839025,979.1666494091099,290.74029792222944,311.13303468683847,485.10404921450026
2018,345.2270123750677,1626.1264907918192,40.29802306112833,945.9137552297325,287.90970882156546,1103.950351183524,344.3746255182186,372.1879265994791,543.3663713644097
2019,416.5190380635322,1877.5184696430435,43.921174160263035,1102.695634570904,365.60711780254496,1325.9146595179452,435.06171752608685,498.70446080966184,667.6814778148037
